period_name,strategy_title,measure_short_code,person_short_code,role
2026-01,Amtsstrategie 2020 - 2024,AS-M-1,AM,responsible
2026-01,Amtsstrategie 2020 - 2024,AS-M-2,TF,responsible
2026-01,Kommunikationsstrategie 2020 - 2024,KS-M-1,SR,responsible
2026-01,Kommunikationsstrategie 2020 - 2024,KS-M-2,MK,supporting
2026-01,Datenstrategie 2020 - 2024,DS-M-1,TF,responsible
2026-01,Datenstrategie 2020 - 2024,DS-M-2,SR,responsible
2026-02,Amtsstrategie 2020 - 2024,AS-M-1,AM,responsible
2026-02,Amtsstrategie 2020 - 2024,AS-M-2,SR,co_responsible
2026-02,Kommunikationsstrategie 2020 - 2024,KS-M-1,SR,responsible
2026-02,Kommunikationsstrategie 2020 - 2024,KS-M-2,MK,supporting
2026-02,Datenstrategie 2020 - 2024,DS-M-1,TF,responsible
2026-02,Datenstrategie 2020 - 2024,DS-M-2,SR,responsible
