strategy_title,measure_short_code,person_short_code,role,valid_from,valid_until
Amtsstrategie 2020 - 2024,AS-M-1,AM,responsible,2020-01-01,
Amtsstrategie 2020 - 2024,AS-M-1,MK,supporting,2020-01-01,
Amtsstrategie 2020 - 2024,AS-M-2,TF,responsible,2020-01-01,
Amtsstrategie 2020 - 2024,AS-M-2,SR,co_responsible,2020-01-01,
Kommunikationsstrategie 2020 - 2024,KS-M-1,AM,approver,2020-01-01,
Kommunikationsstrategie 2020 - 2024,KS-M-1,SR,responsible,2020-01-01,
Kommunikationsstrategie 2020 - 2024,KS-M-2,SR,responsible,2020-01-01,
Kommunikationsstrategie 2020 - 2024,KS-M-2,MK,supporting,2020-01-01,
Datenstrategie 2020 - 2024,DS-M-1,TF,responsible,2020-01-01,
Datenstrategie 2020 - 2024,DS-M-1,MK,co_responsible,2020-01-01,
Datenstrategie 2020 - 2024,DS-M-2,SR,responsible,2020-01-01,
Datenstrategie 2020 - 2024,DS-M-2,AM,approver,2020-01-01,
