period_name,strategy_title,measure_short_code,status,plan_result_description,plan_effort_person_days,plan_effort_description,plan_cost_chf,plan_cost_description,actual_fulfillment_percent,actual_result_description,actual_effort_person_days,actual_effort_description,actual_cost_chf,actual_cost_description
2026-01,Amtsstrategie 2020 - 2024,AS-M-1,completed,Fuehrungsleitbild entwerfen,10.00,Interviewreihe und Entwurf,6000.00,Moderation und Textarbeit,68.00,Entwurf liegt zur Rueckmeldung vor,12.00,Mehr Rueckmeldungen als geplant,6200.00,Kleine Zusatzkosten fuer Moderation
2026-01,Amtsstrategie 2020 - 2024,AS-M-2,completed,Weekly-Prototyp mit zwei Teams testen,8.00,Vorbereitung und Pilot,3000.00,Interner Aufwand,88.00,Neues Format erfolgreich pilotiert,7.50,Hohe Akzeptanz in den Teams,2500.00,Weniger Aufwand als geplant
2026-01,Kommunikationsstrategie 2020 - 2024,KS-M-1,completed,Intranet-Newsprozess konzipieren,9.00,Interviews und Prozessdesign,4200.00,Interne Konzeptarbeit,81.00,Redaktionsprozess ist abgestimmt,10.00,Eine Zusatzrunde mit Stakeholdern,4100.00,Im Rahmen geblieben
2026-01,Kommunikationsstrategie 2020 - 2024,KS-M-2,completed,Vorlagen fuer externe Inhalte entwickeln,11.00,Template-Design und Tests,7200.00,Text und Layoutarbeit,90.00,Vorlagen sind in zwei Kanaelen im Einsatz,10.00,Schnellere Umsetzung als geplant,6900.00,Leicht unter Budget
2026-01,Datenstrategie 2020 - 2024,DS-M-1,completed,Metadatenprozess dokumentieren und abstimmen,12.00,Prozessmodell und Review,8000.00,Interne Prozessarbeit,75.00,Erster Prozess verabschiedet,14.00,Zusaetzliche Abstimmungsschleifen,7600.00,Weniger externe Kosten
2026-01,Datenstrategie 2020 - 2024,DS-M-2,completed,Pilot-Dashboard fuer zwei Bereiche konzipieren,18.00,Workshops und Setup,24000.00,Lizenz und externe Unterstuetzung,92.00,Pilot produktiv eingefuehrt,20.00,Mehr Abstimmungen als erwartet,25500.00,Leicht hoeher durch Zusatzworkshops
2026-02,Amtsstrategie 2020 - 2024,AS-M-1,planning_in_progress,Fuehrungsleitbild finalisieren,9.00,Feedback einarbeiten,5500.00,Moderation und Redaktion,0.00,,0.00,,0.00,
2026-02,Amtsstrategie 2020 - 2024,AS-M-2,open,Weekly-Rollout vorbereiten,7.00,Vorbereitung auf Bereichsausweitung,2800.00,Interne Koordination,0.00,,0.00,,0.00,
2026-02,Kommunikationsstrategie 2020 - 2024,KS-M-1,ready_for_actuals,Newsprozess in Betrieb ueberfuehren,7.00,Schulung und Rollout,3500.00,Interne Kommunikation,45.00,Rollout vorbereitet und pilotiert,4.00,Erste Redaktion geschult,1600.00,Bislang geringe Zusatzkosten
2026-02,Kommunikationsstrategie 2020 - 2024,KS-M-2,planning_in_progress,Vorlagen auf weitere Kanaele ausdehnen,8.00,Abstimmung mit Fachbereichen,4000.00,Koordination und Feinschliff,0.00,,0.00,,0.00,
2026-02,Datenstrategie 2020 - 2024,DS-M-1,ready_for_actuals,Metadatenprozess in Betrieb ueberfuehren,11.00,Kommunikation und Einfuehrung,7000.00,Interne Schulung,35.00,Einheitliche Vorlage eingefuehrt,5.00,Umsetzung laeuft planmaessig,3200.00,Externe Kosten noch offen
2026-02,Datenstrategie 2020 - 2024,DS-M-2,ready_for_actuals,Rollout auf dritten Bereich vorbereiten,16.00,Schulung und Datenmodell,18000.00,Interne Umsetzung und Schulung,40.00,Schulungen vorbereitet und Datenmapping begonnen,9.00,Per Monatsmitte erster Teil erreicht,9000.00,Noch nicht vollstaendig angefallen
